"Dixon 51960 Clamping Tool, For Use With Band and Buckles",$101.75,https://www.bhid.com//product/dixval-spc-51960,https://www.bhid.com/UserFiles/images/products/dixon_/val/ve_/Dixon_Valve_and_Coupling_Dixon_51960_HR.jpg,EA,bhid.com,Tools (Hand & Power)|Hand Tools|Clamp Tool & Accessories|Band Clamp Tools,{}
PREBRA 30041 Steel Oil Hardening Ground Flat Stock,$19.53,https://www.bhid.com//product/prebra-spc-30041,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '1/16 Inch', 'Type': 'Oil Hardening', 'Width': '3/4 Inch'}"
"3M 1616 Flexible Prismatic Reflective Conspicuity Marking, 50 yd L x 2 in W, Red/White, Synthetic Resin",$92.94,https://www.bhid.com//product/3m-spc-05114142319,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051141_42319.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers",{}
"3M 3290 Engineer Grade Pressure-Sensitive Adhesive Reflective Sheeting, 50 yd L x 24 in W, White, Glass Bead",$631.85,https://www.bhid.com//product/3m-spc-05113567925,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051135_67918.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers",{}
PREBRA 30042 Steel Oil Hardening 1 W Ground Flat Stock,$23.54,https://www.bhid.com//product/prebra-spc-30042,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '1/16 Inch', 'Type': 'Oil Hardening', 'Width': '1 Inch'}"
PREBRA 30043 Steel Oil Hardening Ground Flat Stock,$27.68,https://www.bhid.com//product/prebra-spc-30043,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '1/16 Inch', 'Type': 'Oil Hardening', 'Width': '1-1/4 Inch'}"
PREBRA 30044 Steel Oil Hardening Ground Flat Stock,$31.81,https://www.bhid.com//product/prebra-spc-30044,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '1/16 Inch', 'Type': 'Oil Hardening', 'Width': '1-1/2 Inch'}"
"3M 3290 Engineer Grade Pressure-Sensitive Adhesive Reflective Sheeting, 50 yd L x 6 in W, White, Glass Bead",$157.97,https://www.bhid.com//product/3m-spc-05113567935,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051135_67918.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers","{'Color': 'White', 'Length': '50 yd'}"
"3M 85733 Wood Machine Kit, 5 Pieces",$937.85,https://www.bhid.com//product/3m-spc-05114485733,https://www.bhid.com/UserFiles/images/photonotavailable.gif,KT,bhid.com,Abrasives|Abrasive Accessories|Abrasive Sets,"{'Includes': '(2) 970DZ P100, 80 75 in L x 37 in W Belt and 961UZ P120, P150 Grit 75 in L x 37 in W Belt'}"
"3M 3930 High Intensity Prismatic Reflective Sheeting, 50 yd L x 1 in W, White",$35.35,https://www.bhid.com//product/3m-spc-05114129775,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051135_30754.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers",{}
"Mitutoyo 02AZD790B U-Wave-T, Tool Connect Cable B",$148.50,https://www.bhid.com//product/mitame-spc-02azd790b,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_02AZD790B.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Electronic Measuring & SPC Accessories,"{'Specialty': 'Waterproof with Output Button', 'Type': 'Wireless Transmitter Cable'}"
Dixon The Right Connection™ F1 Hand Held Jack Band Clamping Tool,$129.85,https://www.bhid.com//product/dixval-spc-f1,https://www.bhid.com/UserFiles/images/products/dixon_/val/ve_/Dixon_Valve_and_Coupling_Dixon_F1_HR.jpg,EA,bhid.com,Tools (Hand & Power)|Hand Tools|Clamp Tool & Accessories|Band Clamp Tools,{}
PREBRA 30045 Steel Oil Hardening Ground Flat Stock,$35.93,https://www.bhid.com//product/prebra-spc-30045,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '1/16 Inch', 'Type': 'Oil Hardening', 'Width': '1-3/4 Inch'}"
"Mitutoyo 02AZD790C U-Wave-T, Tool Connect Cable E",$148.50,https://www.bhid.com//product/mitame-spc-02azd790c,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_02AZD790C.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Electronic Measuring & SPC Accessories,"{'Specialty': 'Output Button', 'Type': 'Wireless Transmitter Cable'}"
PREBRA 30046 Steel Oil Hardening 2 W Ground Flat Stock,$39.98,https://www.bhid.com//product/prebra-spc-30046,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '1/16 Inch', 'Type': 'Oil Hardening', 'Width': '2 Inch'}"
"3M 85734 Wood Machine Kit, 5 Pieces","$1,081.83",https://www.bhid.com//product/3m-spc-05114485734,https://www.bhid.com/UserFiles/images/photonotavailable.gif,KT,bhid.com,Abrasives|Abrasive Accessories|Abrasive Sets,"{'Includes': '(2) 970DZ P100, 80 Grit 75 in L x 43 in W Belt and 961UZ P120, P150 Grit 75 in L x 43 in W Belt'}"
"3M 3930 High Intensity Prismatic Reflective Sheeting, 50 yd L x 24 in W, White",$848.15,https://www.bhid.com//product/3m-spc-05113530754,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051135_30754.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers",{}
"Mitutoyo 02AZD790E U-Wave-T, Tool Connect Cable C",$148.50,https://www.bhid.com//product/mitame-spc-02azd790e,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_02AZD790E.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Electronic Measuring & SPC Accessories,"{'Specialty': '6-pin round', 'Type': 'Wireless Transmitter Cable'}"
PREBRA 30047 Steel Oil Hardening Ground Flat Stock,$48.15,https://www.bhid.com//product/prebra-spc-30047,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '1/16 Inch', 'Type': 'Oil Hardening', 'Width': '2-1/2 Inch'}"
"Stanley® FatMax® 83-002 Medium Trigger Clamp, 6 in Clamping, 3 in Throat Depth, 12 in",$17.44,https://www.bhid.com//product/statoo-spc-83-002,https://www.bhid.com/UserFiles/images/products/stanley_/sta/nle/Stanley_Stanley_83_002_HR.jpg,EA,bhid.com,Tools (Hand & Power)|Hand Tools|Clamp Tool & Accessories|Bar Clamp/Spreaders,{}
"3M 85736 Belt Machine Kit, 5 Pieces",$973.58,https://www.bhid.com//product/3m-spc-05114485736,https://www.bhid.com/UserFiles/images/photonotavailable.gif,KT,bhid.com,Abrasives|Abrasive Accessories|Abrasive Sets,"{'Includes': '(2) 777F P100, 80 Grit 75 in L x 37 in W Belt and 361F P120, P150 Grit 75 in L x 37 in W Belt'}"
"Mitutoyo 02AZD790F U-Wave-T, Tool Connect Cable F",$148.50,https://www.bhid.com//product/mitame-spc-02azd790f,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_02AZD790F.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Electronic Measuring & SPC Accessories,"{'Specialty': 'Plain type straight', 'Type': 'Wireless Transmitter Cable'}"
PREBRA 30048 Steel Oil Hardening 3 W Ground Flat Stock,$56.30,https://www.bhid.com//product/prebra-spc-30048,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '1/16 Inch', 'Type': 'Oil Hardening', 'Width': '3 Inch'}"
"3M 3930 High Intensity Prismatic Reflective Sheeting, 50 yd L x 30 in W, White","$1,060.20",https://www.bhid.com//product/3m-spc-05113530755,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051135_30754.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers",{}
PREBRA 30049 Steel Oil Hardening Ground Flat Stock,$64.62,https://www.bhid.com//product/prebra-spc-30049,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '1/16 Inch', 'Type': 'Oil Hardening', 'Width': '3-1/2 Inch'}"
"3M 3930 High Intensity Prismatic Reflective Sheeting, 50 yd L x 36 in W, White","$1,272.23",https://www.bhid.com//product/3m-spc-05113530756,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051135_30754.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers",{}
"Mitutoyo 06ADV380B USB Data Input Tool, Connctr B",$265.95,https://www.bhid.com//product/mitame-spc-06adv380b,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_06ADV380B.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Electronic Measuring & SPC Accessories,"{'Specialty': 'with Data Switch', 'Type': 'USB Adapter'}"
PREBRA 30060 Steel Oil Hardening Ground Flat Stock,$19.37,https://www.bhid.com//product/prebra-spc-30060,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '5/64 Inch', 'Type': 'Oil Hardening', 'Width': '1/2 Inch'}"
"Proto® J10-HDL Heavy Duty C-Clamp, 3-5/16 in Throat Depth, 10 in Clamping, 0 - 10-3/8 in, 1-1/4 in Screw",$667.71,https://www.bhid.com//product/proto-spc-j10-hdl,https://www.bhid.com/UserFiles/images/products/proto_/y_p/rot/Stanley_Proto_J10_HDL_HR.jpg,EA,bhid.com,Tools (Hand & Power)|Hand Tools|Clamp Tool & Accessories|C-Clamps,{'Screw Size': '1-1/4 in'}
"Mitutoyo 06AEG180JA AC Adapter, QM-Height",$84.85,https://www.bhid.com//product/mitame-spc-06aeg180ja,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_06AEG180JA.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Electronic Measuring & SPC Accessories,"{'Specialty': 'For Height Gage', 'Type': 'AC Adapter'}"
PREBRA 30062 Steel Oil Hardening 1 W Ground Flat Stock,$29.32,https://www.bhid.com//product/prebra-spc-30062,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '5/64 Inch', 'Type': 'Oil Hardening', 'Width': '1 Inch'}"
Mitutoyo 09AAA198 Adaptr AT100sers/old cntr horz,$108.00,https://www.bhid.com//product/mitame-spc-09aaa198,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_09AAA198.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Electronic Measuring & SPC Accessories,"{'Material': 'Carbide', 'Specialty': 'Vertical Adapter', 'Type': 'Counter'}"
"3M 048011-16860 Flange Adapter, 1/2 in ID x 1 in OD, 1 in Adapted Hole, Sheet Metal",$6.56,https://www.bhid.com//product/3m-spc-04801116860,https://www.bhid.com/UserFiles/images/products/3m_/3m_/048/3M_3M_048011_16860.jpg,ST,bhid.com,Abrasives|Abrasive Accessories|Adapters & Bushings,"{'Adapted Hole Size': '1 in', 'Inside Diameter': '0.5 in', 'Material': 'Sheet Metal', 'Outside Diameter': '1 in', 'Thickness': '1 in', 'Type': 'Flange'}"
"Proto® J102GS Heavy Duty C-Clamp, 1-3/8 in Throat Depth, 2 in Clamping, 0 -2 in, 1/2 in Screw",$82.19,https://www.bhid.com//product/proto-spc-j102gs,https://www.bhid.com/UserFiles/images/products/proto_/y_p/rot/Stanley_Proto_J102GS_HR.jpg,EA,bhid.com,Tools (Hand & Power)|Hand Tools|Clamp Tool & Accessories|C-Clamps,{}
"3M 3932 High Intensity Prismatic Reflective Sheeting, 50 yd L x 48 in W, Red","$1,696.31",https://www.bhid.com//product/3m-spc-05113531073,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051135_31073.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers",{'Length': '50 yd'}
Mitutoyo 264-016 USD Data Input Tool,$265.95,https://www.bhid.com//product/mitame-spc-264-016,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_264-012-10.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Electronic Measuring & SPC Accessories,"{'Specialty': 'Input Tool for USB', 'Type': 'Input Tool'}"
"3M 3939 High Intensity Prismatic Reflective Sheeting, 50 yd L x 48 in W, Brown, Microprismatic","$1,696.31",https://www.bhid.com//product/3m-spc-05113598675,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051135_98675.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers",{}
"3M 048011-22971 Disc Holder Adapter, 5/8-11 EXT - M10x1.25 INT",$13.67,https://www.bhid.com//product/3m-spc-04801122971,https://www.bhid.com/UserFiles/images/products/3m_/3m_/048/3M_3M_048011_22971.jpg,EA,bhid.com,Abrasives|Abrasive Accessories|Adapters & Bushings,"{'Thread Size': '5/8 in -11 EXT - M10x1.25 INT', 'Type': 'Disc Holder'}"
"Proto® J106GS Heavy Duty C-Clamp, 2-1/4 in Throat Depth, 6 in Clamping, 2 - 6 in, 3/4 in Screw",$128.16,https://www.bhid.com//product/proto-spc-j106gs,https://www.bhid.com/UserFiles/images/products/proto_/y_p/rot/Stanley_Proto_J102GS_HR.jpg,EA,bhid.com,Tools (Hand & Power)|Hand Tools|Clamp Tool & Accessories|C-Clamps,{'Clamping Pressure': '11250 lb'}
"Proto® J108GS Heavy Duty C-Clamp, 2-1/4 in Throat Depth, 8 in Clamping, 4 - 8 in, 3/4 in Screw",$152.14,https://www.bhid.com//product/proto-spc-j108gs,https://www.bhid.com/UserFiles/images/products/proto_/y_p/rot/Stanley_Proto_J102GS_HR.jpg,EA,bhid.com,Tools (Hand & Power)|Hand Tools|Clamp Tool & Accessories|C-Clamps,{}
Mitutoyo 64AAA016 SPC Cable3M (905338-03 contyp),$73.31,https://www.bhid.com//product/mitame-spc-64aaa016,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_64AAA016.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Electronic Measuring & SPC Accessories,"{'Length': '120 In', 'Specialty': '3 Meter/Strait Type', 'Type': 'Digimatic Processor'}"
PREBRA 30071 Steel Oil Hardening Ground Flat Stock,$25.06,https://www.bhid.com//product/prebra-spc-30071,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '3/32 Inch', 'Type': 'Oil Hardening', 'Width': '3/4 Inch'}"
"3M 051144-45033 Flange Adapter, 3/4 in ID x 1 in OD, NO 3 Adapted Hole, Sheet Metal",$5.54,https://www.bhid.com//product/3m-spc-05114445033,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051144_45032.jpg,KT,bhid.com,Abrasives|Abrasive Accessories|Adapters & Bushings,"{'Adapted Hole Size': 'NO 3', 'Inside Diameter': '0.75 in', 'Material': 'Sheet Metal', 'Outside Diameter': '1 in', 'Type': 'Flange'}"
"Proto® J110GS Heavy Duty C-Clamp, 2-3/8 in Throat Depth, 10-1/4 in Clamping, 6 - 10-1/4 in, 3/4 in Screw",$174.02,https://www.bhid.com//product/proto-spc-j110gs,https://www.bhid.com/UserFiles/images/products/proto_/y_p/rot/Stanley_Proto_J102GS_HR.jpg,EA,bhid.com,Tools (Hand & Power)|Hand Tools|Clamp Tool & Accessories|C-Clamps,{}
"3M 963-10 Flexible Prismatic Conspicuity Marking Tape, 50 yd L x 2 in W x 0.01 - 0.014 in THK, White",$101.60,https://www.bhid.com//product/3m-spc-05114122499,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051135_30963.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers",{}
PREBRA 30072 Steel Oil Hardening 1 W Ground Flat Stock,$30.24,https://www.bhid.com//product/prebra-spc-30072,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '3/32 Inch', 'Type': 'Oil Hardening', 'Width': '1 Inch'}"
PREBRA 30073 Steel Oil Hardening Ground Flat Stock,$35.10,https://www.bhid.com//product/prebra-spc-30073,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '3/32 Inch', 'Type': 'Oil Hardening', 'Width': '1-1/4 Inch'}"
"3M 051144-45034 Flange Adapter, 5/8 in ID x 1 in OD, NO 3 Adapted Hole, Sheet Metal",$5.54,https://www.bhid.com//product/3m-spc-05114445034,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051144_45032.jpg,KT,bhid.com,Abrasives|Abrasive Accessories|Adapters & Bushings,"{'Adapted Hole Size': 'NO 3', 'Inside Diameter': '0.625 in', 'Material': 'Sheet Metal', 'Outside Diameter': '1 in', 'Type': 'Flange'}"
Mitutoyo 174-183A KA-12 Counter 2-axis display,$792.45,https://www.bhid.com//product/mitame-spc-174-183a,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_174-173A.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Remote Displays & Counters,"{'Resorgrad': '.00005 In', 'Specialty': 'Standard Type', 'Type': 'KA Counter'}"
"Proto® J115GS Heavy Duty C-Clamp, 2-1/2 in Throat Depth, 5 in Clamping, 10 - 15 in, 7/8 in Screw",$289.03,https://www.bhid.com//product/proto-spc-j115gs,https://www.bhid.com/UserFiles/images/products/proto_/y_p/rot/Stanley_Proto_J104GS_HR.jpg,EA,bhid.com,Tools (Hand & Power)|Hand Tools|Clamp Tool & Accessories|C-Clamps,{'Type': 'Heavy Duty'}
"3M 963-326 Flexible Prismatic Conspicuity Marking Tape, 50 yd L x 2 in W x 0.01 - 0.014 in THK, Red/White",$101.60,https://www.bhid.com//product/3m-spc-05114122498,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051141_22494.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers",{}
Mitutoyo 542-007A EC-101D Counter Display,$488.70,https://www.bhid.com//product/mitame-spc-542-007a,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_542-007A.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Remote Displays & Counters,"{'Resorgrad': '.0005 In', 'Specialty': 'EC Type', 'Type': 'Counter'}"
"3M 051144-45035 Flange Adapter, 1/2 in ID x 1 in OD, NO 3 Adapted Hole, Sheet Metal",$5.54,https://www.bhid.com//product/3m-spc-05114445035,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051144_45032.jpg,KT,bhid.com,Abrasives|Abrasive Accessories|Adapters & Bushings,"{'Adapted Hole Size': 'NO 3', 'Inside Diameter': '0.5 in', 'Material': 'Sheet Metal', 'Outside Diameter': '1 in', 'Type': 'Flange'}"
